run_id,symptomatic_probability,mortality_probability,foi.CHN,foi.IND,foi.PAK,foi.IDN,foi.PNG,foi.KHM,foi.NPL,foi.LKA,foi.PHL,foi.BTN,foi.VNM,foi.MMR,foi.TLS,foi.PRK,foi.BGD,foi.THA,foi.LAO
13,0.011483592,0.476110732,0.095270873,0.178810374,0.121706296,0.216971888,0.156484099,0.124985632,0.137110314,0.071351356,0.1623561,0.130831951,0.169658426,0.073890196,0.376454025,0.101967394,0.092264535,0.021951861,0.298761167
14,0.006057126,0.100574427,0.195335251,0.179126439,0.188189791,0.275439787,0.18799515,0.120499969,0.133515585,0.181358562,0.188251211,0.179611207,0.152827556,0.0678969,0.376113339,0.086294217,0.145996579,0.028460649,0.055076666
15,0.002098695,0.398118502,0.227603775,0.14997751,0.099103346,0.20790266,0.307485849,0.049582624,0.179769696,0.15833518,0.230926855,0.101077119,0.039355287,0.099330362,0.374833442,0.408673015,0.164095253,0.035240516,0.04717394
16,0.002431629,0.805311853,0.209602849,0.070458335,0.132143877,0.37707205,0.160109954,0.145180189,0.07788342,0.152637865,0.191599247,0.079527837,0.166799691,0.131450203,0.308906225,0.067145101,0.107268631,0.035158168,0.117396249
17,0.009503492,0.538511359,0.208054896,0.05895119,0.217508528,0.27618331,0.204614235,0.069308078,0.153733524,0.305525831,0.055020626,0.078742758,0.189019872,0.099418878,0.44196386,0.079002095,0.153670218,0.055853175,0.059924483
18,0.003235251,0.320679116,0.090582717,0.176763066,0.327103529,0.345483034,0.417636854,0.130726603,0.058048494,0.13067799,0.036225111,0.060813177,0.078720226,0.139517962,0.36685799,0.179184858,0.103376191,0.084388259,0.056243685
19,0.005408773,0.251820775,0.199412564,0.175600416,0.152069625,0.121173295,0.359236794,0.107032204,0.17221206,0.388260756,0.168057234,0.139059658,0.058566428,0.102596452,0.222634766,0.214193125,0.092549779,0.032090438,0.139052728
20,0.002713168,0.540629549,0.173650916,0.168882701,0.059928222,0.169884709,0.244987136,0.139869919,0.060910647,0.059136091,0.185800589,0.150529594,0.32101731,0.198772345,0.137921979,0.1969423,0.136293949,0.05448857,0.066968827
21,0.002284283,0.176275617,0.141592863,0.061819344,0.162112078,0.410046182,0.231575658,0.098894847,0.129925232,0.064587528,0.045705384,0.061287299,0.08179595,0.17594757,0.16829634,0.252632418,0.158855651,0.048900946,0.065475375
22,0.011726938,0.17836051,0.385505878,0.158732187,0.339564972,0.417009644,0.224851188,0.124989212,0.150652341,0.246606294,0.22281051,0.128857275,0.073955441,0.313132104,0.178932203,0.171131248,0.235040183,0.067300827,0.07972947
23,0.004089014,0.328151045,0.38638185,0.170856338,0.1303357,0.18036478,0.232102555,0.098272537,0.072537145,0.080130368,0.043273936,0.171836737,0.118195126,0.18008639,0.36279169,0.154250259,0.160504784,0.091122916,0.140769113
24,0.024915198,0.721352512,0.376169431,0.173345057,0.08276688,0.197554486,0.315245823,0.11483992,0.129541746,0.132893346,0.174451092,0.064177602,0.231853028,0.054941545,0.206013066,0.060612844,0.185220742,0.057697845,0.071624457
25,0.006975051,0.441177226,0.166987779,0.157816719,0.078179708,0.23366998,0.182026402,0.04326704,0.128489014,0.0955828,0.209876116,0.183033133,0.214778243,0.088234661,0.282362424,0.075111254,0.093258107,0.052270261,0.118415527
26,0.004384506,0.394301538,0.085546841,0.064681747,0.092864538,0.318949322,0.131588475,0.085900087,0.078933005,0.365580447,0.042673836,0.06448486,0.107372062,0.187724214,0.110359098,0.093289926,0.131203189,0.038601594,0.088905807
27,0.003924498,0.671675326,0.282341403,0.151558099,0.107871518,0.184474227,0.401475119,0.057648756,0.148971302,0.106390571,0.261347983,0.07954017,0.103481116,0.192981444,0.164492519,0.081405607,0.101794039,0.041057577,0.095955024
